BL,474,255216852
FU1d,474,255225631
BL,472,254509895
FU1d,472,254514299
BL,471,253508265
FU1d,471,253527285
BL,470,253463571
FU1d,470,253466846
BL,468,252153586
FU1d,468,252173288
BL,467,252088254
FU1d,467,252131541
FU1w,467,252976296
BL,466,251261475
FU1d,466,251265896
BL,463,249797703
FU1d,463,249871360
FU1w,463,250239531
BL,462,248872686
FU6h,462,248876194
FU1d,462,248893261
FU3m,462,258846349
BL,461,248621593
FU1d,461,248632658
BL,459,246687928
FU1d,459,246776665
FU1w,459,247596883
BL,458,245549339
FU1d,458,245554828
FU1w,458,246811203
FU4m,458,23395
BL,456,244296722
FU1d,456,244300173
BL,455,243432912
FU1d,455,243447563
BL,454,242637207
FU1d,454,242690523
FU5d,454,243090671
BL,452,241253591
FU4h,452,241267697
BL,451,240979155
FU1d,451,240992564
FU1w,451,242143659
BL,450,240865174
FU1d,450,240994106
BL,449,240044320
FU1d,449,240077816
BL,446,239602788
FU1d,446,239623010
BL,445,239635548
FU1d,445,239649376
FU1w,445,240319764
BL,443,238786513
FU1d,443,238791648
CTFU,442,238931442
BL,442,238786405
BL,441,238275004
FU1d,441,238321201
BL,439,43000888
FU8h,439,238078378
FU2d,439,238078384
BL,435,236640093
FU5h,435,236644724
BL,433,185752601
FU1d,433,236017672
BL,432,235164164
FU1d,432,235240351
BL,431,235076563
FU1d,431,235101497
BL,430,235073185
FU1d,430,235075626
BL,427,233985516
FU1d,427,233992439
FU1m,427,236473448
BL,426,232837168
FU1d,426,232850165
BL,423,232428096
FU1d,423,232431184
BL,421,231620337
FU6h,421,231630209
FU1d,421,231620340
BL,420,63416314
FU1d,420,231405050
BL,416,230127150
FU1d,416,230266686
BL,415,230253695
FU1d,415,230257108
BL,414,230170433
FU1d,414,230260720
CTBL,404,227781107
FU1d,404,227875065
BL,396,217966790
FU1d,396,225386325
BL,393,224578279
FU1d,393,224590506
FU2w,393,225532999
BL,390,223975838
FU1d,390,223980764
BL,386,223438216
FU1d,386,223446140
BL,385,223078081
FU1d,385,223083575
FU1w,385,223648254
BL,384,222677261
FU1d,384,222739526
BL,382,222309868
FU1d,382,222311684
BL,381,222090632
FU1d,381,222144492
BL,379,221712488
FU1d,379,221719043
BL,378,221285896
FU1d,378,221286976
BL,377,221214393
FU1d,377,221224741
BL,376,220502939
FU1d,376,220545153
BL,370,219022409
FU4h,370,219060456
FU2w,370,220542269
BL,367,218267002
FU1d,367,218295581
BL,366,218144692
FU1d,366,218190514
BL,363,217156740
FU10h,363,217165909
FU1w,363,218881515
BL,358,215306196
FU5h,358,215309580
FU1d,358,215318276
BL,357,215252291
FU1d,357,215265066
BL,356,215153766
FU6h,356,215153797
BL,352,214489400
FU1d,352,214540513
BL,345,211774334
FU2d,345,212005949
BL,340,209473969
FU1d,340,209476523
BL,333,206309843
FU1d,333,206326152
BL,327,203175808
FU1d,327,203335317
BL,326,203225886
FU1d,326,203276846
BL,324,203227956
FU1d,324,203286298
FU5d,324,203635230
BL,322,202523573
FU1d,322,202524372
BL,321,202438250
FU1d,321,202542424
BL,320,202405024
FU1d,320,202459565
BL,319,202145129
FU1d,319,202148694
BL,315,178609493
FU1d,315,200419347
BL,314,200168525
FU1d,314,200178417
BL,311,199179456
FU1d,311,199180230
BL,310,198898049
FU1d,310,198898052
BL,307,198348678
FU1d,307,198472808
BL,306,197993397
FU1d,306,197996779
FU1m,306,199906782
BL,301,196813096
FU1d,301,196829709
BL,293,193760057
FU1d,293,193781148
FU2w,293,195094972
BL,291,193514467
FU1d,291,193537368
BL,290,83908065
FU1d,290,192936063
BL,284,191371908
FU1d,284,191392566
FU2w,284,191802754
BL,283,191004052
FU6h,283,191009841
FU5d,283,191401404
BL,282,190960105
FU1d,282,190974991
BL,277,190527483
FU1d,277,190577479
FU6m,277,15767
BL,272,188484849
FU1d,272,188489749
BL,265,186125324
FU1d,265,186138548
BL,261,185155928
FU1d,261,185172737
BL,260,185085466
FU1d,260,185158397
BL,258,184859933
FU1d,258,184859973
BL,256,184786750
FU1d,256,184856023
BL,254,1
FU1d,254,184389998
BL,253,183969012
FU1d,253,184011395
BL,248,182798915
FU1d,248,182834590
BL,242,71308230
FU1d,242,179077537
BL,241,178950601
FU1d,241,178966335
BL,240,178761643
FU1d,240,178875630
BL,238,177092328
FU1d,238,177096270
FU1w,238,178051773
BL,236,175603320
FU1d,236,175607896
BL,233,174902543
FU1d,233,174956203
BL,229,173600666
FU1d,229,173628693
Fu2d,229,173677327
BL,227,172685274
FU1d,227,172827384
BL,225,172030884
FU1d,225,172086139
BL,223,171592147
FU4h,223,171597200
FU2d,223,171614130
BL,221,171053166
FU1d,221,171137272
FU3m,221,174063112
BL,219,170749026
FU1d,219,170759365
BL,217,169181074
FU6h,217,169214602
FU5d,217,169451833
BL,215,168551910
FU1d,215,168575250
BL,210,166774785
FU1d,210,166821511
FU1d,210,166869380
BL,209,166285697
FU1d,209,166305456
BL,205,163381479
FU1d,205,163773856
FU5d,205,164128735
BL,204,163133607
FU10h,204,163143691
BL,203,163036516
FU1d,203,163042250
BL,201,7740196
FU1d,201,162406550
BL,200,83655736
FU1d,200,161865175
BL,191,158164425
FU1d,191,158247929
BL,187,156744062
FU1d,187,156819816
BL,186,156815574
FU1d,186,156836737
FU1w,186,157292883
BL,184,156056375
FU1d,184,156128562
BL,180,155310014
FU1d,180,155381172
BL,170,105885844
FU1d,170,151306138
BL,168,150679045
FU1d,168,150679494
BL,165,148964124
FU1d,165,148977390
FU2d,165,148977393
BL,164,148363703
FU1d,164,148384449
BL,163,148347373
FU1d,163,148357289
BL,158,146370138
FU10h,158,146403930
FU1d,158,146457324
BL,156,146211021
FU1d,156,146249874
BL,154,146009120
FU1d,154,146039699
BL,152,145627389
FU1d,152,145664364
BL,148,143682010
FU1d,148,143703253
BL,144,143075745
FU1d,144,143102052
BL,141,141493402
FU1d,141,1
FU5d,141,141765424
BL,135,139839353
FU1d,135,139849822
BL,134,139738265
FU1d,134,139793165
BL,133,139280599
FU1d,133,139311735
BL,132,139033682
FU1d,132,139044131
BL,129,138192948
FU1d,129,138201117
BL,127,137950936
FU1d,127,137979979
BL,119,131291846
FU8h,119,131306103
FU1w,119,131723536
BL,116,130686814
FU1d,116,130715664
BL,113,127723038
FU1d,113,127762537
BL,112,127494257
FU1d,112,127496011
BL,108,8779358
FU1d,108,8783956
FU1w,108,8792417
BL,106,8766205
FU1d,106,8766687
BL,105,8766107
FU1d,105,8766159
FU4d,105,8771520
BL,099,8712085
FU1d,099,8712266
BL,097,8707273
FU1d,097,8709573
BL,096,8704814
FU4h,096,8704947
BL,095,8702571
FU1d,095,8704552
FU1d,095,8704552
BL,093,8694046
FU1d,093,8696281
BL,092,8693641
FU1d,092,8694141
FU1w,092,8703618
BL,084,8637142
FU1d,084,8639673
BL,082,8631175
FU1d,082,8632702
BL,079,8600833
FU1d,079,8603321
BL,078,8595532
FU1d,078,8598048
BL,077,8587443
FU1d,077,8587617
FU1d,077,8590340
BL,074,8535946
FU1d,074,8536163
FU1d,074,8536264
FU1m,074,8588927
BL,072,8535614
FU1d,072,8535960
BL,071,8529056
FU1d,071,8531420
BL,069,8523413
FU1d,069,8525385
BL,068,8522583
FU8h,068,8522726
BL,064,8486989
FU1d,064,8489561
FU4d,064,8494304
BL,063,8485132
FU1d,063,8485736
BL,062,8454492
FU1d,062,8455618
BL,059,8446039
FU1d,059,8447433
BL,058,8435910
FU1d,058,8436487
FU6m,058,121655349
BL,057,8433337
FU1d,057,8435487
FU5d,057,8442826
BL,055,8420440
FU1d,055,8422759
BL,054,8411412
FU1d,054,8411600
FU1d,054,8413928
BL,051,8353439
FU1d,051,8353882
FU2d,051,8355961
FU5d,051,8364745
BL,049,8337895
FU1d,049,8338459
BL,048,8333262
FU1d,048,8335581
BL,045,8320973
FU1d,045,8321160
FU1d,045,8323233
BL,044,8314709
FU1d,044,8315003
BL,043,8303176
FU1d,043,8303410
FU2w,043,8325939
BL,042,8300650
FU1d,042,8302948
BL,040,8290661
FU5d,040,8298635
BL,039,8286521
FU1d,039,8288034
FU5d,039,8298299
BL,038,8286179
FU1d,038,8288081
BL,037,8246723
FU1d,037,8249332
BL,036,8246105
FU1d,036,8248353
BL,033,8224691
FU1d,033,8226228
FU1m,033,8281909
BL,032,8217397
FU1d,032,8217996
BL,030,8207755
FU1d,030,8209103
BL,025,8170600
FU6h,025,8170799
FU1d,025,8173196
BL,023,8154906
FU1d,023,8157615
BL,020,8130902
FU1d,020,8133302
BL,019,8117783
FU1d,019,8118044
FU5d,019,8123517
BL,018,8109741
FU1d,018,8110645
BL,014,8101015
FU6h,014,8102162
BL,013,8092039
FU1d,013,8092790
BL,011,8027599
FU1d,011,8028585
BL,010,8003430
FU1d,010,8006825
FU5d,010,8012689
BL,007,7224687
FU1d,007,7923382
FU5d,007,7930360
BL,004,7905871
FU1d,004,7905950
FU1d,004,7907861
BL,003,7896713
FU1d,003,7899083
BL,002,1
FU1d,002,7839795
BL,001,7796905
FU1d,001,7796911
FU5d,001,7806433